,date,date.1,open_apple,high_apple,low_apple,apple_price,apple_adj,volume_apple,divid,split coef,apple,iphone,apple watch,airpods
513,2018-04-25,2018-04-25,162.62,165.42,162.41,163.65,158.6748,28382084.0,0.0,1.0,26.97,29.6,21.000000000000004,5.1800000000000015
512,2018-04-26,2018-04-26,164.12,165.73,163.37,164.22,159.2275,27963014.0,0.0,1.0,26.04,29.6,21.56,5.53
511,2018-04-27,2018-04-27,164.0,164.33,160.63,162.32,157.3852,35655839.0,0.0,1.0,25.73,29.23,20.72,5.8100000000000005
510,2018-04-30,2018-04-30,162.1302,167.26,161.84,165.26,160.2359,42427424.0,0.0,1.0,29.44,29.97,26.35,5.6000000000000005
509,2018-05-01,2018-05-01,166.4102,169.2,165.27,169.1,163.9591,53569376.0,0.0,1.0,29.12,29.6,17.98,5.250000000000001
508,2018-05-02,2018-05-02,175.225,177.75,173.8,176.57,171.202,66539371.0,0.0,1.0,28.48,28.86,19.22,5.6000000000000005
507,2018-05-03,2018-05-03,175.88,177.5,174.4411,176.89,171.5123,34068180.0,0.0,1.0,27.84,28.86,20.77,5.74
506,2018-05-04,2018-05-04,178.25,184.25,178.17,183.83,178.2413,56201317.0,0.0,1.0,27.84,29.6,20.77,5.8100000000000005
505,2018-05-07,2018-05-07,185.18,187.67,184.75,185.16,179.5309,42451423.0,0.0,1.0,28.8,31.16,24.84,6.48
504,2018-05-08,2018-05-08,184.99,186.22,183.665,186.05,180.3938,28402777.0,0.0,1.0,27.2,30.02,25.2,7.68
503,2018-05-09,2018-05-09,186.55,187.4,185.22,187.36,181.664,23211241.0,0.0,1.0,28.16,30.4,25.56,7.04
502,2018-05-10,2018-05-10,187.74,190.37,187.65,190.04,184.2625,27989289.0,0.0,1.0,28.48,30.02,25.92,6.32
501,2018-05-11,2018-05-11,189.49,190.06,187.45,188.59,183.5644,26212221.0,0.73,1.0,28.16,30.4,27.0,7.2
500,2018-05-14,2018-05-14,189.01,189.53,187.86,188.15,183.1361,20778772.0,0.0,1.0,28.48,32.3,28.7,6.3000000000000025
499,2018-05-15,2018-05-15,186.78,187.07,185.1,186.44,181.4717,23695159.0,0.0,1.0,28.16,30.4,26.25,5.74
498,2018-05-16,2018-05-16,186.07,188.46,186.0,188.18,183.1653,19183064.0,0.0,1.0,26.24,30.78,22.75,6.0200000000000005
497,2018-05-17,2018-05-17,188.0,188.91,186.36,186.99,182.007,17294029.0,0.0,1.0,26.56,30.02,22.05,5.670000000000001
496,2018-05-18,2018-05-18,187.19,187.8102,186.13,186.31,181.3452,18297728.0,0.0,1.0,26.56,30.02,22.05,5.670000000000001
495,2018-05-21,2018-05-21,188.0,189.27,186.9106,187.63,182.63,18400787.0,0.0,1.0,25.73,30.4,19.22,6.0900000000000025
494,2018-05-22,2018-05-22,188.375,188.88,186.78,187.16,182.1725,15240704.0,0.0,1.0,26.04,30.78,18.91,5.74
493,2018-05-23,2018-05-23,186.35,188.5,185.76,188.36,183.3405,20058415.0,0.0,1.0,25.11,30.78,19.22,6.16
492,2018-05-24,2018-05-24,188.77,188.84,186.21,188.15,183.1361,23233975.0,0.0,1.0,26.35,31.54,18.91,5.74
491,2018-05-25,2018-05-25,188.23,189.65,187.65,188.58,183.5547,17460963.0,0.0,1.0,26.35,31.92,18.91,5.670000000000001
490,2018-05-29,2018-05-29,187.6,188.75,186.87,187.9,182.8928,22514075.0,0.0,1.0,26.24,33.2,19.53,6.0900000000000025
489,2018-05-30,2018-05-30,187.72,188.0,186.78,187.5,182.5034,18690547.0,0.0,1.0,27.52,33.6,18.29,5.8100000000000005
488,2018-05-31,2018-05-31,187.22,188.23,186.14,186.87,181.8902,27482793.0,0.0,1.0,26.88,34.0,18.29,6.0200000000000005
487,2018-06-01,2018-06-01,187.9912,190.26,187.75,190.24,185.1704,23442510.0,0.0,1.0,24.64,33.2,23.25,5.040000000000001
