,date,open_spx,high_spx,low_spx,sp500,sp500_adj,volume_spx,divid,split coef,crisis,USA,Chinese,Trump,dynamic_corr
615,2019-06-14,2886.8201,2894.45,2879.6201,2886.98,2886.98,2922330000.0,0.0,1.0,40.0,22.44,45.36,9.24,-0.668395221722053
616,2019-06-17,2889.75,2897.27,2887.3,2889.6699,2889.6699,2810140000.0,0.0,1.0,23.8,26.880000000000006,43.2,10.2,-0.654348801225525
617,2019-06-18,2906.71,2930.79,2905.4399,2917.75,2917.75,3437620000.0,0.0,1.0,24.85,27.44,40.5,13.43,-0.592932044433344
618,2019-06-19,2920.55,2931.74,2911.4299,2926.46,2926.46,3287890000.0,0.0,1.0,24.5,28.56,41.58000000000001,14.79,-0.0197604153560223
619,2019-06-20,2949.6001,2958.0601,2931.5,2954.1799,2954.1799,3905940000.0,0.0,1.0,19.6,36.96,41.58000000000001,11.22,0.39331793464263
620,2019-06-21,2952.71,2964.1499,2946.8701,2950.46,2950.46,5000120000.0,0.0,1.0,19.25,26.320000000000004,43.74,11.56,0.01513805467445
621,2019-06-24,2951.4199,2954.9199,2944.05,2945.3501,2945.3501,3136250000.0,0.0,1.0,22.44,49.5,43.2,8.64,-0.13295265442475698
622,2019-06-25,2945.78,2946.52,2916.01,2917.3799,2917.3799,3578050000.0,0.0,1.0,18.15,34.980000000000004,39.96,10.08,-0.551934954975996
623,2019-06-26,2926.0701,2932.5901,2912.99,2913.78,2913.78,3478130000.0,0.0,1.0,25.41,32.34,42.12000000000001,10.4,-0.5369177364997221
624,2019-06-27,2919.6599,2929.3,2918.5701,2924.9199,2924.9199,3122920000.0,0.0,1.0,20.46,36.3,42.66,11.84,-0.53683059684587
625,2019-06-28,2932.9399,2943.98,2929.05,2941.76,2941.76,5420700000.0,0.0,1.0,17.82,66.0,44.28,12.16,-0.322957019403545
626,2019-07-01,2971.4099,2977.9299,2952.22,2964.3301,2964.3301,3513270000.0,0.0,1.0,24.92,29.64,40.5,10.6,-0.151356675313375
627,2019-07-02,2964.6599,2973.21,2955.9199,2973.01,2973.01,3206840000.0,0.0,1.0,28.000000000000004,56.24,40.5,10.2,-0.41154526934129104
628,2019-07-03,2978.0801,2995.8401,2977.96,2995.8201,2995.8201,1963720000.0,0.0,1.0,25.200000000000006,33.44,42.12000000000001,10.6,-0.5300790857072439
629,2019-07-05,2984.25,2994.03,2967.97,2990.4099,2990.4099,2434210000.0,0.0,1.0,17.360000000000007,28.12,44.82,20.0,-0.522988668893
630,2019-07-08,2979.77,2980.76,2970.0901,2975.95,2975.95,2904550000.0,0.0,1.0,19.72,58.5,37.96,9.86,0.483966333894284
631,2019-07-09,2965.52,2981.8999,2963.4399,2979.6299,2979.6299,3028210000.0,0.0,1.0,28.13,24.0,40.56,9.01,0.17360184267653198
632,2019-07-10,2989.3,3002.98,2984.6201,2993.0701,2993.0701,3154240000.0,0.0,1.0,23.78,22.5,37.96,8.67,-0.28537768411512104
633,2019-07-11,2999.6201,3002.3301,2988.8,2999.9099,2999.9099,3154620000.0,0.0,1.0,25.52,22.5,41.08,8.84,-0.5282942489467379
634,2019-07-12,3003.3601,3013.9199,3001.8701,3013.77,3013.77,2974960000.0,0.0,1.0,24.36,21.75,41.08,9.01,-0.616709331340457
635,2019-07-15,3017.8,3017.8,3008.77,3014.3,3014.3,2874970000.0,0.0,1.0,26.97,13.63,40.28,15.18,-0.6534337623805789
636,2019-07-16,3012.1299,3015.02,3001.1499,3004.04,3004.04,3290650000.0,0.0,1.0,26.1,14.1,37.63,16.06,0.0723261088372097
637,2019-07-17,3005.1001,3005.26,2984.25,2984.4199,2984.4199,3181600000.0,0.0,1.0,28.42,13.63,37.63,16.94,0.419424636319509
638,2019-07-18,2978.8701,2998.28,2973.0901,2995.1101,2995.1101,3296580000.0,0.0,1.0,24.36,12.69,38.69000000000001,16.06,0.553588900047292
639,2019-07-19,3004.26,3006.02,2975.8601,2976.6101,2976.6101,3260360000.0,0.0,1.0,25.52,12.69,42.40000000000001,13.86,0.563423236985181
640,2019-07-22,2981.9299,2990.71,2976.6499,2985.03,2985.03,3003720000.0,0.0,1.0,27.9,12.6,41.58000000000001,8.33,0.44370888471951203
