date,date,open_tsla,high_tsla,low_tsla,tsla_price,tsla_adj,volume_tsla,divid,split coef,tesla,musk,elon
2018-07-16,2018-07-16,311.71,315.16,306.25,310.1,310.1,7818655.0,0.0,1.0,15.2,16.0,15.0
2018-07-17,2018-07-17,308.81,324.74,308.5,322.69,322.69,6996232.0,0.0,1.0,14.2,8.48,7.5
2018-07-18,2018-07-18,325.0,325.5,316.25,323.85,323.85,5624211.0,0.0,1.0,15.6,6.72,6.45
2018-07-19,2018-07-19,316.33,323.54,314.01,320.23,320.23,5915345.0,0.0,1.0,17.0,3.68,4.05
2018-07-20,2018-07-20,321.23,323.24,311.7093,313.58,313.58,5166547.0,0.0,1.0,16.2,3.84,3.3
2018-07-23,2018-07-23,301.84,305.5,292.8601,303.2,303.2,10992947.0,0.0,1.0,17.64,1.61,1.84
2018-07-24,2018-07-24,304.4209,307.7171,292.5452,297.43,297.43,9590784.0,0.0,1.0,17.64,1.2600000000000002,1.6
2018-07-25,2018-07-25,296.74,309.62,294.5025,308.74,308.74,7094180.0,0.0,1.0,17.22,1.4700000000000002,1.52
2018-07-26,2018-07-26,304.85,310.7,303.6411,306.65,306.65,4630522.0,0.0,1.0,17.22,1.7500000000000002,2.32
2018-07-27,2018-07-27,307.25,307.6933,295.3404,297.18,297.18,5703326.0,0.0,1.0,16.38,1.54,1.92
2018-07-30,2018-07-30,295.9,296.1,286.13,290.17,290.17,6814072.0,0.0,1.0,20.16,1.02,1.4700000000000002
2018-07-31,2018-07-31,292.25,298.32,289.07,298.14,298.14,5076916.0,0.0,1.0,19.68,1.14,1.2600000000000002
2018-08-01,2018-08-01,297.99,303.0,293.0,300.84,300.84,10129430.0,0.0,1.0,17.04,1.56,1.89
2018-08-02,2018-08-02,328.44,349.99,323.16,349.54,349.54,23214962.0,0.0,1.0,17.04,1.7999999999999998,2.45
2018-08-03,2018-08-03,347.81,355.0,342.53,348.17,348.17,13656486.0,0.0,1.0,12.96,1.3199999999999998,1.8200000000000005
2018-08-06,2018-08-06,345.46,354.98,341.82,341.99,341.99,8564331.0,0.0,1.0,12.88,2.2,1.89
2018-08-07,2018-08-07,343.84,387.46,339.1501,379.57,379.57,30875768.0,0.0,1.0,28.000000000000004,7.6,6.0299999999999985
2018-08-08,2018-08-08,369.09,382.64,367.12,370.34,370.34,24571163.0,0.0,1.0,24.64,6.1000000000000005,5.94
2018-08-09,2018-08-09,365.55,367.01,345.73,352.45,352.45,17183811.0,0.0,1.0,17.92,4.2,3.51
2018-08-10,2018-08-10,354.0,360.0,346.0,355.49,355.49,11552044.0,0.0,1.0,14.840000000000002,3.3000000000000003,2.88
2018-08-13,2018-08-13,361.13,363.19,349.02,356.41,356.41,10463881.0,0.0,1.0,12.72,5.74,6.24
2018-08-14,2018-08-14,358.45,359.1995,347.1,347.64,347.64,6986427.0,0.0,1.0,12.48,8.260000000000002,8.06
2018-08-15,2018-08-15,341.9059,344.49,332.14,338.69,338.69,9101258.0,0.0,1.0,11.52,5.880000000000001,5.46
2018-08-16,2018-08-16,339.91,342.28,333.82,335.45,335.45,6064033.0,0.0,1.0,11.52,4.760000000000002,4.94
2018-08-17,2018-08-17,323.5,326.77,303.53,305.5,305.5,18958612.0,0.0,1.0,15.6,14.000000000000002,13.0
2018-08-20,2018-08-20,291.7035,308.5,288.2,308.44,308.44,17402335.0,0.0,1.0,13.64,6.71,7.04
2018-08-21,2018-08-21,310.61,324.79,309.0,321.9,321.9,13172230.0,0.0,1.0,11.66,5.5,5.17
2018-08-22,2018-08-22,320.87,323.88,314.67,321.64,321.64,5945955.0,0.0,1.0,10.12,5.06,5.5
2018-08-23,2018-08-23,319.14,327.32,318.1,320.1,320.1,5147286.0,0.0,1.0,9.9,4.29,4.73
2018-08-24,2018-08-24,320.7,323.85,319.4,322.82,322.82,3602564.0,0.0,1.0,11.22,3.3,3.85
2018-08-27,2018-08-27,318.0,322.435,308.81,319.27,319.27,13079288.0,0.0,1.0,9.8,1.6800000000000002,2.56
2018-08-28,2018-08-28,318.41,318.88,311.19,311.86,311.86,7649091.0,0.0,1.0,9.4,1.96,2.72
2018-08-29,2018-08-29,310.27,311.85,303.69,305.01,305.01,7447392.0,0.0,1.0,8.8,2.45,3.28
2018-08-30,2018-08-30,302.26,304.6,297.72,303.15,303.15,7216706.0,0.0,1.0,9.0,2.03,3.04
2018-08-31,2018-08-31,302.0,305.3082,298.6,301.66,301.66,5375104.0,0.0,1.0,9.2,1.89,2.4
2018-09-04,2018-09-04,296.94,298.19,288.0,288.95,288.95,8350469.0,0.0,1.0,10.66,1.56,2.34
2018-09-05,2018-09-05,285.05,286.78,277.18,280.74,280.74,7720821.0,0.0,1.0,11.18,2.34,3.12
2018-09-06,2018-09-06,284.8,291.17,278.88,280.95,280.95,7480760.0,0.0,1.0,10.66,2.34,2.8600000000000003
2018-09-07,2018-09-07,260.1,268.35,252.2548,263.24,263.24,22491931.0,0.0,1.0,26.0,26.0,26.0
2018-09-10,2018-09-10,273.26,286.03,271.0,285.5,285.5,14283528.0,0.0,1.0,16.64,7.92,9.2
2018-09-11,2018-09-11,279.47,282.0,273.55,279.44,279.44,9169989.0,0.0,1.0,16.12,6.16,7.36
2018-09-12,2018-09-12,281.44,292.5,278.6463,290.54,290.54,10015427.0,0.0,1.0,14.56,4.62,5.98
2018-09-13,2018-09-13,288.02,295.0,285.18,289.46,289.46,6340336.0,0.0,1.0,13.0,4.62,5.5200000000000005
2018-09-14,2018-09-14,288.76,297.3256,286.52,295.2,295.2,6765612.0,0.0,1.0,12.48,4.18,4.37
2018-09-17,2018-09-17,290.04,300.87,288.13,294.84,294.84,6887577.0,0.0,1.0,10.34,1.92,2.28
2018-09-18,2018-09-18,296.69,302.64,275.5,284.96,284.96,16547522.0,0.0,1.0,11.88,2.76,2.88
2018-09-19,2018-09-19,280.51,300.0,280.5,299.02,299.02,8294917.0,0.0,1.0,11.66,1.7999999999999998,2.28
2018-09-20,2018-09-20,303.56,305.98,293.33,298.33,298.33,7349422.0,0.0,1.0,10.78,1.3199999999999998,1.56
2018-09-21,2018-09-21,297.7,300.58,295.37,299.1,299.1,5050478.0,0.0,1.0,10.34,1.44,1.44
2018-09-24,2018-09-24,298.48,302.9993,293.58,299.68,299.68,4842961.0,0.0,1.0,10.92,1.35,1.5
2018-09-25,2018-09-25,300.0,304.6,296.5,300.99,300.99,4481729.0,0.0,1.0,10.92,1.2,1.5
2018-09-26,2018-09-26,301.91,313.89,301.1093,309.58,309.58,7843216.0,0.0,1.0,11.18,1.35,1.5
2018-09-27,2018-09-27,312.9,314.96,306.91,307.52,307.52,8509084.0,0.0,1.0,16.64,3.3,3.45
2018-09-28,2018-09-28,270.26,278.0,260.56,264.77,264.77,33649700.0,0.0,1.0,23.14,5.1,5.7
2018-10-01,2018-10-01,305.77,311.44,301.05,310.7,310.7,21777597.0,0.0,1.0,29.0,15.8,14.07
2018-10-02,2018-10-02,313.95,316.84,299.15,301.02,301.02,11743511.0,0.0,1.0,23.78,9.8,9.45
2018-10-03,2018-10-03,303.33,304.6,291.57,294.8,294.8,7994988.0,0.0,1.0,19.43,7.2,7.35
2018-10-04,2018-10-04,293.95,294.0,277.67,281.83,281.83,9814212.0,0.0,1.0,18.27,7.4,7.979999999999999
2018-10-05,2018-10-05,274.65,274.88,260.0,261.95,261.95,17944537.0,0.0,1.0,19.43,7.0,6.93
2018-10-08,2018-10-08,264.52,267.7599,249.0,250.56,250.56,13472653.0,0.0,1.0,17.04,3.06,4.1000000000000005
2018-10-09,2018-10-09,255.25,266.77,253.3,262.8,262.8,12060574.0,0.0,1.0,16.56,2.43,2.7
2018-10-10,2018-10-10,264.61,265.51,247.77,256.88,256.88,12815278.0,0.0,1.0,15.6,1.89,2.3000000000000003
2018-10-11,2018-10-11,257.53,262.25,249.03,252.23,252.23,8167738.0,0.0,1.0,13.92,1.89,2.0
2018-10-12,2018-10-12,261.0,261.99,252.01,258.78,258.78,7201404.0,0.0,1.0,15.84,1.62,2.1
2018-10-15,2018-10-15,259.06,263.28,254.5367,259.59,259.59,6199965.0,0.0,1.0,13.11,2.76,3.38
2018-10-16,2018-10-16,265.7,277.375,262.24,276.59,276.59,9526401.0,0.0,1.0,14.49,2.76,3.25
2018-10-17,2018-10-17,282.4,282.7,265.8032,271.78,271.78,8655542.0,0.0,1.0,12.88,2.52,2.73
2018-10-18,2018-10-18,269.29,271.0,263.0,263.91,263.91,5421184.0,0.0,1.0,13.11,2.16,2.73
2018-10-19,2018-10-19,267.39,269.66,253.5,260.0,260.0,9375549.0,0.0,1.0,16.560000000000002,4.92,4.68
2018-10-22,2018-10-22,260.68,261.86,252.59,260.95,260.95,5600260.0,0.0,1.0,15.86,6.37,6.300000000000002
2018-10-23,2018-10-23,263.87,297.93,262.1,294.14,294.14,19027753.0,0.0,1.0,18.72,4.94,5.040000000000001
2018-10-24,2018-10-24,301.05,304.44,285.73,288.5,288.5,20058258.0,0.0,1.0,24.18,3.64,4.2
2018-10-25,2018-10-25,317.22,321.0,301.01,314.86,314.86,20840724.0,0.0,1.0,22.36,3.51,3.640000000000001
2018-10-26,2018-10-26,308.25,339.9,306.65,330.9,330.9,27425520.0,0.0,1.0,19.76,4.29,4.340000000000002
2018-10-29,2018-10-29,337.47,347.16,326.5,334.85,334.85,14486027.0,0.0,1.0,14.08,2.08,2.34
2018-10-30,2018-10-30,328.39,337.8999,322.26,329.9,329.9,9126704.0,0.0,1.0,12.54,1.76,2.07
2018-10-31,2018-10-31,332.54,342.0,329.1,337.32,337.32,7624348.0,0.0,1.0,12.98,1.52,1.71
2018-11-01,2018-11-01,338.26,347.84,334.725,344.28,344.28,8000132.0,0.0,1.0,19.8,5.6000000000000005,5.85
2018-11-02,2018-11-02,343.74,349.2,340.91,346.41,346.41,7807971.0,0.0,1.0,22.0,6.6400000000000015,6.39
2018-11-05,2018-11-05,340.5,343.955,330.14,341.4,341.4,7831048.0,0.0,1.0,16.34,5.3900000000000015,5.68
2018-11-06,2018-11-06,339.07,348.8,336.09,341.06,341.06,6762889.0,0.0,1.0,16.91,4.83,4.96
2018-11-07,2018-11-07,343.34,351.18,340.8,348.16,348.16,7374522.0,0.0,1.0,14.82,4.550000000000002,5.68
2018-11-08,2018-11-08,348.5,357.5755,348.44,351.4,351.4,7090674.0,0.0,1.0,18.05,6.090000000000002,6.8
2018-11-09,2018-11-09,349.0,354.0,345.23,350.51,350.51,5098846.0,0.0,1.0,17.29,4.340000000000002,4.88
2018-11-12,2018-11-12,348.37,349.78,330.34,331.28,331.28,6941523.0,0.0,1.0,15.96,3.78,3.99
2018-11-13,2018-11-13,333.16,344.7,332.2,338.73,338.73,5448597.0,0.0,1.0,15.77,4.5,4.760000000000002
