,date,open_dollar_eur,high_dollar_eur,low_dollar_eur,dollar_eur,Unnamed: 0.1,crisis,job,loan,unemployment,default,suicide,killing,disorder,crime,usurer,war,uprising,hiring,work,usajob,apply,wei_dyn_corr,wei_dollar_eur_gen_trend,diff_wei_trend,absdiiff
530,2020-01-03,0.8944,0.8986,0.894,0.8962,1097.0,10.56,16.8,52.0,3.0500000000000003,53.46,20.28,48.0,48.91,61.2,12.6,40.0,10.01,64.5,69.3,22.41,35.88,-0.5256639723139729,22.877,3.469999999999999,0.03469999999999999
531,2020-01-06,0.8956,0.8959999999999999,0.892,0.8929,1100.0,18.9,23.4,51.15000000000001,5.0,72.9,18.24,37.13,63.2,56.28,13.2,19.27,8.47,88.0,79.89999999999998,25.01,44.16,-0.498777591109228,30.0405,7.163500000000003,0.07163500000000003
532,2020-01-07,0.8929,0.8979,0.8925,0.8966,1101.0,20.25,24.96,51.15000000000001,3.95,71.28,19.44,35.72,65.57000000000001,60.3,13.2,16.81,9.68,86.24,83.3,24.4,43.7,-0.320108258267809,30.5685,0.5279999999999987,0.005279999999999987
533,2020-01-08,0.8966,0.9004,0.8952,0.8998,1102.0,22.05,25.22,47.85,3.25,75.33,17.52,36.19,65.57000000000001,54.94000000000001,0.0,25.42,8.36,81.84,83.3,50.02,45.54,-0.306226231963632,39.1125,8.543999999999997,0.08543999999999997
534,2020-01-09,0.8998,0.9011,0.8989,0.9002,1103.0,17.1,24.7,48.95,3.0,73.71000000000002,18.96,30.55,70.31,67.0,13.2,13.94,7.04,75.68,81.6,37.21,43.7,0.312083510809445,33.5215,-5.590999999999994,0.05590999999999994
535,2020-01-10,0.9001,0.9018,0.8981,0.899,1104.0,17.55,23.14,53.90000000000001,2.95,72.09,18.72,30.08,63.2,52.93,12.9,12.3,9.9,69.52,79.05,61.0,41.4,0.22349585261600602,40.411,6.889499999999997,0.06889499999999997
536,2020-01-13,0.8991,0.8996,0.8968,0.8977,1107.0,25.42,25.65,52.64000000000001,4.55,70.31,22.680000000000003,21.83,71.38,59.16,0.0,5.28,8.25,87.0,84.28,16.650000000000002,44.16,0.4237925725578789,29.979,-10.432000000000002,0.10432000000000002
537,2020-01-14,0.8978,0.9002,0.8968,0.8984,1108.0,27.9,26.19,52.64000000000001,3.6,71.89,26.88000000000001,20.35,76.53999999999998,61.2,12.54,5.06,11.0,85.26,85.14,0.0,45.08000000000001,0.133007843796008,26.048000000000002,-3.9310000000000014,0.03931000000000001
538,2020-01-15,0.8985,0.8991,0.8955,0.8966,1109.0,62.0,27.0,52.64000000000001,3.2,70.31,23.24,19.24,77.4,60.52,13.53,5.28,8.36,80.91,86.0,17.1,45.54,-0.28139489611811197,41.493,15.445000000000006,0.15445000000000006
539,2020-01-16,0.8965,0.8983,0.8946,0.8976,1110.0,38.44,25.38000000000001,54.88,3.0,71.89,26.6,19.98,81.7,60.52,0.0,5.28,7.81,73.95,85.14,35.1,45.08000000000001,0.161623071688023,39.609,-1.8840000000000003,0.018840000000000003
