date,date,open_dollar_eur,high_dollar_eur,low_dollar_eur,dollar_eur,Unnamed: 0,crisis,job,loan,unemployment,default,suicide,killing,disorder,crime,usurer,war,uprising,hiring,work,usajob,apply
2017-11-21,2017-11-21,0.852,0.8534,0.8504,0.852,324.0,12.4,16.6,33.93,3.04,64.08,27.72,26.27,65.45,51.3,14.57,10.12,12.96,33.0,63.36,12.9,28.5
2017-11-22,2017-11-22,0.852,0.852,0.8453,0.8459,325.0,11.16,13.8,32.76,2.48,58.32,25.08,26.27,56.98,47.31,31.0,8.97,8.82,29.04,57.6,13.5,25.84
2017-11-23,2017-11-23,0.8459,0.8462,0.8431,0.8436,326.0,6.82,9.4,19.11,1.08,34.56,22.11,26.64,39.27,40.47,0.0,9.2,11.34,16.72,48.96,15.0,17.48
2017-11-24,2017-11-24,0.8436,0.8446,0.8370000000000001,0.8378,327.0,6.51,10.2,25.74,1.4,38.16,22.77,25.16,40.81,39.33,0.0,8.97,12.06,24.64,53.28,14.4,18.62
2017-11-27,2017-11-27,0.8375,0.8405,0.8359,0.8401,330.0,29.14,22.36,40.42,3.8,70.31,29.4,20.74,80.91000000000003,57.04,19.74,18.55,20.0,56.05,79.05,21.450000000000006,39.69
2017-11-28,2017-11-28,0.8401,0.8452,0.8387,0.8438,331.0,48.36,25.22,45.12,3.3200000000000003,83.66,28.35,21.08,90.21,57.04,40.42,19.25,14.8,59.0,84.14999999999998,33.0,45.08
2017-11-29,2017-11-29,0.8439,0.8458,0.8414,0.8437,332.0,62.0,25.48,45.59,3.0,86.33,30.1,22.78,93.0,58.28,20.68,35.0,15.8,54.87,85.0,22.0,45.57
2017-11-30,2017-11-30,0.8436,0.8465,0.8379,0.8409,333.0,42.78,24.96,46.53,2.92,81.88,31.5,22.78,90.21,60.14,0.0,30.8,17.0,53.69,82.45,30.250000000000004,49.0
2017-12-01,2017-12-01,0.8408,0.8434,0.8373,0.8402,334.0,62.0,23.66,43.71,2.2,83.66,26.95,27.20000000000001,67.89,58.28,0.0,35.0,15.8,50.15,80.75,55.00000000000001,46.55
2017-12-04,2017-12-04,0.8423,0.845,0.8417,0.8424,337.0,46.08,24.96,43.71,4.6000000000000005,76.5,31.45,23.76,73.72,61.0,33.84,24.92,19.11,53.2,79.67999999999998,0.0,42.0
2017-12-05,2017-12-05,0.8423,0.8471,0.8416,0.8451,338.0,42.24,24.96,43.71,3.8,84.14999999999998,29.23,24.42,77.6,59.78,33.84,23.520000000000003,16.8,54.32000000000001,81.33999999999997,9.3,38.22
2017-12-06,2017-12-06,0.8451,0.8486,0.8438,0.847,339.0,43.2,26.0,43.71,3.2,85.0,28.49,25.08,74.69,59.17,34.56,23.8,16.59,56.00000000000001,83.0,9.6,41.58
2017-12-07,2017-12-07,0.847,0.8492,0.8463,0.8490000000000001,340.0,40.8,24.18,42.3,3.1,84.14999999999998,30.34,25.41,71.78,56.73,0.0,25.480000000000004,13.86,50.96000000000001,81.33999999999997,18.9,38.64
