date,hiring,work,usajob,apply
2018-01-15,61.64,73.8,0.0,37.41
2018-01-16,60.300000000000004,77.89999999999999,20.8,42.14
2018-01-17,61.64,80.36,42.25,40.42
2018-01-18,61.64,79.53999999999999,31.85,41.71
2018-01-19,58.290000000000006,76.25999999999999,22.1,39.13
2018-01-20,46.230000000000004,67.24,25.35,32.25
2018-01-21,46.230000000000004,68.88,26.27,31.68
2018-01-22,66.33,80.64,0.0,44.0
2018-01-23,64.99000000000001,82.32,0.0,44.0
2018-01-24,62.31,84.0,45.44,42.24
2018-01-25,61.64,84.0,34.79,41.36
2018-01-26,54.940000000000005,79.8,71.0,39.6
2018-01-27,44.89,70.56,55.379999999999995,32.12
2018-01-28,44.800000000000004,72.25,49.14,34.32
2018-01-29,58.24,82.45,20.16,40.92
2018-01-30,58.88,84.14999999999999,30.240000000000002,43.56
2018-01-31,58.24,83.3,40.32,42.68
2018-02-01,63.36,83.3,40.32,44.0
2018-02-02,58.88,79.05,49.77,40.48
2018-02-03,48.0,69.7,0.0,32.56
2018-02-04,40.87,66.39999999999999,35.1,29.82
2018-02-05,54.9,73.86999999999999,43.68,37.379999999999995
2018-02-06,61.0,80.50999999999999,0.0,40.32
2018-02-07,59.78,80.50999999999999,43.68,39.48
2018-02-08,59.17,80.50999999999999,39.78,39.48
2018-02-09,45.75,75.53,30.42,35.699999999999996
2018-02-10,43.31,68.06,35.88,28.56
2018-02-11,40.47,67.23,0.0,29.93
2018-02-12,53.58,76.14,31.35,38.54
2018-02-13,50.73,77.76,20.900000000000002,39.769999999999996
2018-02-14,43.31999999999999,72.09,42.35,34.44
2018-02-15,45.029999999999994,76.95,21.450000000000003,37.309999999999995
2018-02-16,46.169999999999995,73.71000000000001,55.00000000000001,34.03
2018-02-17,39.33,63.18000000000001,0.0,28.7
2018-02-18,41.18,65.61,0.0,28.29
2018-02-19,52.199999999999996,74.52000000000001,18.33,35.669999999999995
2018-02-20,53.36,77.76,0.0,38.129999999999995
2018-02-21,55.099999999999994,78.57000000000001,26.79,39.769999999999996
2018-02-22,50.459999999999994,77.76,0.0,39.36
2018-02-23,44.08,72.09,18.33,34.44
2018-02-24,37.12,64.80000000000001,21.619999999999997,28.7
2018-02-25,38.86,69.72,51.62,31.39
2018-02-26,55.099999999999994,82.17,36.54,40.85
2018-02-27,53.36,83.0,22.04,42.57
2018-02-28,52.779999999999994,81.33999999999999,22.04,41.71
2018-03-01,50.459999999999994,81.33999999999999,19.139999999999997,41.71
2018-03-02,44.66,77.19,19.72,36.98
2018-03-03,37.12,67.22999999999999,0.0,32.25
2018-03-04,43.5,68.06,0.0,30.34
2018-03-05,55.67999999999999,78.72,16.830000000000002,40.18
2018-03-06,56.26,82.0,51.0,38.949999999999996
2018-03-07,53.36,80.36,16.830000000000002,38.949999999999996
2018-03-08,52.779999999999994,81.17999999999999,26.01,38.54
2018-03-09,48.72,76.25999999999999,17.85,38.129999999999995
2018-03-10,38.279999999999994,64.78,0.0,29.52
2018-03-11,37.52,65.60000000000001,0.0,29.93
2018-03-12,56.00000000000001,76.80000000000001,21.5,38.54
