,date,open_oil,high_oil,low_oil,oil_price,oil_adj,volume_oil,divid,split coef,oil,production,wti,brent,crude oil,barrel,dynamic_corr,gen_trend,dynamic_corr_gen,diff_gen_trend
208,2018-10-30,67.93,68.9054,67.93,68.78,13.755999999999998,7441.0,0.0,1.0,50.16,56.73,1.48,44.53,3.6,60.97000000000001,0.6103373991923859,50.14700000000001,0.866348537379068,0.8635000000000161
209,2018-10-31,68.73,68.73,67.67,67.68,13.536,11017.0,0.0,1.0,46.17,56.73,1.14,43.92,3.0500000000000003,50.25,0.693664209088708,44.826,0.8759395133508041,-5.321000000000012
210,2018-11-01,67.32,67.32,65.89,65.93,13.186,2042.0,0.0,1.0,42.18,57.34,0.52,26.23,2.0,27.47,0.2476908001599589,35.62200000000001,0.5622741263855761,-9.203999999999994
211,2018-11-02,65.77,65.8,65.3944,65.3944,13.0789,1826.0,0.0,1.0,46.17,50.02,1.14,23.79,2.3000000000000003,27.47,-0.630804595425285,38.12450000000001,-0.557406897694678,2.502500000000005
212,2018-11-05,66.19,66.19,65.03,65.2,13.04,19145.0,0.0,1.0,49.56,57.42,1.68,76.0,3.22,26.13000000000001,-0.634912819848066,42.63050000000001,-0.588154357534691,4.506
213,2018-11-06,65.65,65.65,64.0857,64.51,12.902,2345.0,0.0,1.0,47.79,47.56,1.36,95.0,3.2900000000000005,25.46,-0.0439652661968406,42.2465,-0.459142794486368,-0.38400000000001455
214,2018-11-07,65.03,65.03,63.7473,63.98,12.796,2454.0,0.0,1.0,43.07,46.4,1.48,45.6,2.5200000000000005,23.45000000000001,0.47318369943182104,36.211999999999996,-0.554613290551069,-6.034500000000001
215,2018-11-08,63.66,63.66,62.98,62.98,12.595999999999998,3200.0,0.0,1.0,47.79,49.3,1.76,38.95,3.01,28.14,-0.3876554451050421,40.134,-0.7412919564386229,3.922000000000004
216,2018-11-09,61.75,62.4435,61.7,62.4435,12.4887,4215.0,0.0,1.0,48.38,45.82,1.28,43.7,3.850000000000001,28.14,-0.571329277009647,40.731,-0.660856793276349,0.5970000000000013
217,2018-11-12,63.35,63.35,61.165,61.165,12.233,2005.0,0.0,1.0,54.56,48.72,3.1,34.3,4.859999999999999,34.96,-0.604066428933969,46.07400000000001,-0.670194940296571,5.343000000000011
