,Trump,Donald Trump,President of USA,Close,DateTime
322,32.0,8.0,0.0,106.465,2020-01-08 22:00:00
323,32.0,8.0,0.0,106.275,2020-01-08 23:00:00
324,30.0,7.0,0.0,106.275,2020-01-09 00:00:00
325,11.0,3.0,0.0,107.18,2020-01-09 11:00:00
326,12.0,3.0,0.0,106.275,2020-01-09 12:00:00
327,13.0,3.0,0.0,104.775,2020-01-09 13:00:00
328,13.0,4.0,0.0,106.605,2020-01-09 14:00:00
329,14.0,4.0,0.0,107.15,2020-01-09 15:00:00
330,15.0,4.0,0.0,107.42,2020-01-09 16:00:00
331,17.0,4.0,0.0,107.86,2020-01-09 17:00:00
332,16.0,4.0,0.0,107.58,2020-01-09 18:00:00
333,16.0,4.0,0.0,107.475,2020-01-09 19:00:00
334,17.0,4.0,0.0,107.35,2020-01-09 20:00:00
335,18.0,4.0,0.0,106.275,2020-01-09 21:00:00
336,19.0,4.0,0.0,108.675,2020-01-09 22:00:00
337,23.0,5.0,0.0,106.275,2020-01-09 23:00:00
338,25.0,5.0,0.0,106.275,2020-01-10 00:00:00
339,8.0,2.0,0.0,108.03,2020-01-10 11:00:00
340,9.0,2.0,0.0,106.275,2020-01-10 12:00:00
341,10.0,2.0,0.0,106.275,2020-01-10 13:00:00
342,11.0,3.0,0.0,107.325,2020-01-10 14:00:00
343,11.0,3.0,0.0,107.235,2020-01-10 15:00:00
344,11.0,3.0,0.0,107.565,2020-01-10 16:00:00
345,12.0,3.0,0.0,107.765,2020-01-10 17:00:00
346,12.0,3.0,0.0,107.585,2020-01-10 18:00:00
347,13.0,3.0,0.0,107.4,2020-01-10 19:00:00
348,13.0,3.0,0.0,106.845,2020-01-10 20:00:00
349,14.0,3.0,0.0,105.25,2020-01-10 21:00:00
350,14.0,3.0,0.0,105.25,2020-01-10 22:00:00
351,15.0,3.0,0.0,106.275,2020-01-10 23:00:00
352,15.0,3.0,0.0,106.275,2020-01-11 00:00:00
353,19.0,4.0,0.0,107.6,2020-01-13 11:00:00
354,22.0,5.0,0.0,106.275,2020-01-13 12:00:00
355,25.0,6.0,0.0,105.1,2020-01-13 13:00:00
356,27.0,6.0,0.0,107.095,2020-01-13 14:00:00
357,28.0,7.0,0.0,107.395,2020-01-13 15:00:00
358,31.0,7.0,0.0,107.22,2020-01-13 16:00:00
359,34.0,8.0,0.0,107.25,2020-01-13 17:00:00
360,36.0,8.0,0.0,106.95,2020-01-13 18:00:00
361,37.0,8.0,0.0,106.995,2020-01-13 19:00:00
362,38.0,8.0,0.0,107.075,2020-01-13 20:00:00
363,42.0,9.0,0.0,105.0,2020-01-13 21:00:00
364,46.0,10.0,0.0,105.0,2020-01-13 22:00:00
365,50.0,10.0,0.0,106.275,2020-01-13 23:00:00
366,52.0,11.0,0.0,106.275,2020-01-14 00:00:00
367,20.0,4.0,0.0,107.555,2020-01-14 11:00:00
368,24.0,5.0,0.0,106.275,2020-01-14 12:00:00
369,28.0,6.0,0.0,105.25,2020-01-14 13:00:00
370,30.0,6.0,0.0,107.04,2020-01-14 14:00:00
371,32.0,7.0,0.0,106.93,2020-01-14 15:00:00
372,33.0,7.0,0.0,106.745,2020-01-14 16:00:00
373,35.0,8.0,0.0,106.83,2020-01-14 17:00:00
374,36.0,8.0,0.0,106.595,2020-01-14 18:00:00
375,37.0,8.0,0.0,106.41,2020-01-14 19:00:00
376,38.0,8.0,0.0,106.555,2020-01-14 20:00:00
377,40.0,8.0,0.0,104.975,2020-01-14 21:00:00
378,49.0,10.0,0.0,104.975,2020-01-14 22:00:00
379,57.0,10.0,0.0,104.975,2020-01-14 23:00:00
380,63.0,11.0,0.0,104.975,2020-01-15 00:00:00
381,24.0,5.0,0.0,106.275,2020-01-15 12:00:00
382,28.0,6.0,0.0,105.25,2020-01-15 13:00:00
383,29.0,6.0,0.0,106.98,2020-01-15 14:00:00
384,34.0,7.0,0.0,107.505,2020-01-15 15:00:00
385,36.0,8.0,0.0,107.955,2020-01-15 16:00:00
386,40.0,8.0,0.0,107.59,2020-01-15 17:00:00
387,42.0,9.0,0.0,107.81,2020-01-15 18:00:00
388,40.0,9.0,0.0,107.975,2020-01-15 19:00:00
389,40.0,8.0,0.0,107.855,2020-01-15 20:00:00
390,43.0,9.0,0.0,107.35,2020-01-15 21:00:00
391,59.0,13.0,0.0,107.35,2020-01-15 22:00:00
392,57.0,12.0,0.0,107.85,2020-01-15 23:00:00
393,55.0,11.0,0.0,107.85,2020-01-16 00:00:00
394,22.0,5.0,0.0,108.205,2020-01-16 11:00:00
395,26.0,6.0,0.0,105.83,2020-01-16 12:00:00
396,29.0,6.0,0.0,105.83,2020-01-16 13:00:00
397,31.0,7.0,0.0,108.08,2020-01-16 14:00:00
398,35.0,7.0,0.0,107.83,2020-01-16 15:00:00
399,37.0,8.0,0.0,108.26,2020-01-16 16:00:00
400,46.0,10.0,0.0,108.185,2020-01-16 17:00:00
401,45.0,10.0,0.0,108.26,2020-01-16 18:00:00
402,50.0,11.0,0.0,108.08,2020-01-16 19:00:00
403,58.0,13.0,0.0,108.325,2020-01-16 20:00:00
404,69.0,16.0,0.0,107.985,2020-01-16 21:00:00
405,70.0,16.0,0.0,107.985,2020-01-16 22:00:00
406,73.0,17.0,0.0,106.275,2020-01-16 23:00:00
407,69.0,15.0,0.0,106.275,2020-01-17 00:00:00
408,22.0,5.0,0.0,108.44,2020-01-17 11:00:00
409,27.0,6.0,0.0,106.39,2020-01-17 12:00:00
410,31.0,7.0,0.0,106.39,2020-01-17 13:00:00
411,32.0,7.0,0.0,109.09,2020-01-17 14:00:00
412,35.0,7.0,0.0,108.77,2020-01-17 15:00:00
413,37.0,8.0,0.0,109.185,2020-01-17 16:00:00
414,40.0,9.0,0.0,108.88,2020-01-17 17:00:00
415,41.0,9.0,0.0,108.855,2020-01-17 18:00:00
416,43.0,9.0,0.0,109.01,2020-01-17 19:00:00
417,44.0,9.0,0.0,109.29,2020-01-17 20:00:00
418,46.0,9.0,0.0,109.195,2020-01-17 21:00:00
