,Unnamed: 0,date,open_spx,high_spx,low_spx,sp500,sp500_adj,volume_spx,divid,split coef,crisis,USA,Chinese,Trump,dynamic_corr,dynamic_corr2
348,348,2018-05-22,2738.3401,2742.24,2721.8799,2724.4399,2724.4399,3366310000.0,0.0,1.0,32.76,47.0,34.17,11.04,-0.40034983979797206,-0.7270711976313271
349,349,2018-05-23,2713.98,2733.3301,2709.54,2733.29,2733.29,3326290000.0,0.0,1.0,29.25,42.3,35.19,11.36,-0.24534239188729398,-0.774023373842523
350,350,2018-05-24,2730.9399,2731.97,2707.3799,2727.76,2727.76,3256030000.0,0.0,1.0,31.20000000000001,34.309999999999995,36.72,14.4,-0.259014208665215,-0.7903174517094169
351,351,2018-05-25,2723.6001,2727.3601,2714.99,2721.3301,2721.3301,2995260000.0,0.0,1.0,24.96,32.9,39.27,12.0,-0.09400430132352301,-0.6306739788203499
352,352,2018-05-29,2705.1101,2710.6699,2676.8101,2689.8601,2689.8601,3736890000.0,0.0,1.0,35.2,34.2,35.64,13.32,-0.11758290521105699,-0.697316231217902
353,353,2018-05-30,2702.4299,2729.3401,2702.4299,2724.01,2724.01,3561050000.0,0.0,1.0,36.0,32.85,40.5,17.099999999999998,-0.415789016474576,-0.660181309014114
354,354,2018-05-31,2720.98,2722.5,2700.6799,2705.27,2705.27,4235370000.0,0.0,1.0,30.8,32.85,39.96,17.46,-0.19246459751470302,-0.0749997939307893
355,355,2018-06-01,2718.7,2736.9299,2718.7,2734.6201,2734.6201,3684130000.0,0.0,1.0,36.4,38.25,45.36,8.64,-0.46201937818255107,0.24274094741487898
356,356,2018-06-04,2741.6699,2749.1599,2740.54,2746.8701,2746.8701,3376510000.0,0.0,1.0,40.0,37.4,39.52,7.79,-0.43130474674048797,-0.46782322330082393
357,357,2018-06-05,2748.46,2752.6101,2739.51,2748.8,2748.8,3517790000.0,0.0,1.0,36.8,35.64,37.44,9.12,-0.613595609549886,-0.669207421387423
358,358,2018-06-06,2753.25,2772.3899,2748.46,2772.3501,2772.3501,3651640000.0,0.0,1.0,35.2,37.84,39.0,8.93,-0.593881814636176,-0.731228826093489
359,359,2018-06-07,2774.8401,2779.8999,2760.1599,2770.3701,2770.3701,3711330000.0,0.0,1.0,40.0,36.08,40.04,8.55,-0.673884526365437,-0.7745053395413041
360,360,2018-06-08,2765.8401,2779.3899,2763.5901,2779.03,2779.03,3123210000.0,0.0,1.0,35.2,35.64,42.12000000000001,8.74,-0.686265404937201,-0.787081701062185
361,361,2018-06-11,2780.1799,2790.21,2780.1699,2782.0,2782.0,3232330000.0,0.0,1.0,30.1,45.39,40.56,17.55,-0.6916821122244909,-0.8020138123073609
362,362,2018-06-12,2785.6001,2789.8,2778.78,2786.8501,2786.8501,3401010000.0,0.0,1.0,29.05,46.41,40.04,27.0,0.23482154259043803,-0.38295603394081196
363,363,2018-06-13,2787.9399,2791.47,2774.6499,2775.6299,2775.6299,3779230000.0,0.0,1.0,32.2,48.45,41.6,15.39,0.6315714368874189,0.37041869668155797
364,364,2018-06-14,2783.21,2789.0601,2776.52,2782.49,2782.49,3526890000.0,0.0,1.0,28.0,50.49,39.0,15.93,0.461660827682094,0.26702590565623197
365,365,2018-06-15,2777.78,2782.8101,2761.73,2779.6599,2779.6599,5428790000.0,0.0,1.0,25.2,49.98,42.64,14.580000000000002,0.52973196806552,0.212590316424102
366,366,2018-06-18,2765.79,2774.99,2757.1201,2773.75,2773.75,3287150000.0,0.0,1.0,26.6,45.6,39.52,12.22,0.48202708853126897,0.0851332444196281
367,367,2018-06-19,2752.01,2765.05,2743.1899,2762.5901,2762.5901,3661470000.0,0.0,1.0,31.85,44.64,38.48,14.56,0.23727413804678302,-0.206259202445103
368,368,2018-06-20,2769.73,2774.8601,2763.9099,2767.3201,2767.3201,3327600000.0,0.0,1.0,34.3,44.64,37.96,20.54,0.389656673108937,-0.198331429590429
369,369,2018-06-21,2769.28,2769.28,2744.3899,2749.76,2749.76,3300060000.0,0.0,1.0,28.7,42.24,40.04,21.32,0.649538060081696,0.347288365895416
370,370,2018-06-22,2760.79,2764.1699,2752.6799,2754.8799,2754.8799,5450550000.0,0.0,1.0,28.35,41.28,42.12000000000001,20.8,0.5757989586952579,0.5500603645262161
371,371,2018-06-25,2742.9399,2742.9399,2698.6699,2717.0701,2717.0701,3655080000.0,0.0,1.0,24.0,39.6,41.34,9.6,0.571742645031973,0.628538632234235
372,372,2018-06-26,2722.1201,2732.9099,2715.6001,2723.0601,2723.0601,3555090000.0,0.0,1.0,28.48,38.7,39.75,10.6,0.370574435116835,0.0288493211339506
373,373,2018-06-27,2728.45,2746.0901,2699.3799,2699.6299,2699.6299,3776090000.0,0.0,1.0,24.0,39.6,40.81,10.2,0.173438181848644,-0.30118770895681896
374,374,2018-06-28,2698.6899,2724.3401,2691.99,2716.3101,2716.3101,3428140000.0,0.0,1.0,27.2,40.05,40.81,9.6,0.38263557802104897,-0.4927906856237079
375,375,2018-06-29,2727.1299,2743.26,2718.03,2718.3701,2718.3701,3565620000.0,0.0,1.0,23.68,39.6,43.46,9.0,0.287663442494083,-0.6354694716725889
376,376,2018-07-02,2704.95,2727.26,2698.95,2726.71,2726.71,3073650000.0,0.0,1.0,21.06,42.14,39.96,6.3,0.247805431759322,-0.707812985972289
377,377,2018-07-03,2733.27,2736.5801,2711.1599,2713.22,2713.22,1911470000.0,0.0,1.0,20.02,41.65,41.58000000000001,6.48,0.0105625745593512,-0.769120379225431
378,378,2018-07-05,2724.1899,2737.8301,2716.02,2736.6101,2736.6101,2953420000.0,0.0,1.0,22.1,43.61,42.12000000000001,7.92,0.278167090273732,-0.799236119298693
379,379,2018-07-06,2737.6799,2764.4099,2733.52,2759.8201,2759.8201,2554780000.0,0.0,1.0,20.02,41.65,45.36,7.7399999999999975,-0.131178941698567,-0.797968525752403
380,380,2018-07-09,2775.6201,2784.6499,2770.73,2784.1699,2784.1699,3050040000.0,0.0,1.0,22.96,39.1,39.75,8.19,-0.5776272305611629,-0.8067531726027758
