,date,open_oil,high_oil,low_oil,oil_price,oil_adj,volume_oil,divid,split coef,oil,production,wti,brent,crude oil,barrel
2019-02-13,2019-02-13,55.5,56.2539,55.5,55.6821,11.1364,29198.0,0.0,1.0,46.2,62.7,2.25,50.02,3.3000000000000003,37.62
2019-02-14,2019-02-14,55.27,56.28,54.93,56.2027,11.2405,6505.0,0.0,1.0,45.0,59.40000000000001,1.89,55.51,3.75,39.9
2019-02-15,2019-02-15,57.05,57.528999999999996,56.78,57.494,11.4988,14376.0,0.0,1.0,46.8,51.48,1.89,61.0,3.1500000000000004,42.18
2019-02-19,2019-02-19,57.14,57.92,57.14,57.92,11.584000000000001,22694.0,0.0,1.0,49.41,57.66,1.89,54.52,6.0,38.08000000000001
2019-02-20,2019-02-20,57.84,58.91,57.83,58.5484,11.7097,14069.0,0.0,1.0,47.58,57.04,1.89,55.67999999999999,4.08,37.52
2019-02-21,2019-02-21,58.37,58.3994,58.09,58.21,11.642000000000001,7429.0,0.0,1.0,47.58,57.66,1.29,42.92,3.84,39.2
2019-02-22,2019-02-22,58.89,59.1113,58.582,58.65,11.73,54780.0,0.0,1.0,48.8,50.84,1.71,50.46,4.56,41.44000000000001
2019-02-25,2019-02-25,57.55,57.648,56.4787,56.8,11.36,28842.0,0.0,1.0,48.6,64.0,2.37,50.22,4.8,36.96
2019-02-26,2019-02-26,56.87,57.2039,56.7,57.0402,11.408,14922.0,0.0,1.0,49.2,64.0,1.41,55.18,4.02,39.2
2019-02-27,2019-02-27,58.11,58.7663,57.82,58.4264,11.6853,11458.0,0.0,1.0,47.4,53.76,2.37,49.6,4.2,39.76000000000001
2019-02-28,2019-02-28,58.45,58.74,58.3401,58.6342,11.7268,46970.0,0.0,1.0,48.0,60.16,1.59,55.8,3.36,38.64
2019-03-01,2019-03-01,58.8912,59.0,56.96,57.1946,11.4389,8056.0,0.0,1.0,47.4,55.68,2.07,51.46,4.62,37.52
2019-03-04,2019-03-04,58.23,58.3,57.5924,57.98,11.595999999999998,1912.0,0.0,1.0,48.98,61.11,1.86,50.4,4.3,39.0
2019-03-05,2019-03-05,58.41,58.41,57.82,57.94,11.588,3911.0,0.0,1.0,47.12,59.22,1.26,51.66,4.3,35.4
2019-03-06,2019-03-06,57.41,57.7,57.0,57.61,11.522,4971.0,0.0,1.0,48.98,57.96,2.46,51.03,4.4,37.2
2019-03-07,2019-03-07,57.78,58.15,57.7,57.986999999999995,11.5974,8655.0,0.0,1.0,47.74,61.11,2.76,49.14,3.5,41.4
2019-03-08,2019-03-08,56.37,57.5526,56.01,57.5526,11.5105,11719.0,0.0,1.0,51.46,51.66,1.23,52.92,4.3500000000000005,40.8
2019-03-11,2019-03-11,58.23,58.4,57.95,58.22,11.644,19841.0,0.0,1.0,52.08,51.92,2.8000000000000003,62.56,3.7,38.35
2019-03-12,2019-03-12,58.67,58.94,58.27,58.3292,11.6658,31909.0,0.0,1.0,48.36,51.92,2.12,68.0,4.15,38.35
2019-03-13,2019-03-13,59.11,59.8656,59.08,59.8264,11.9653,19928.0,0.0,1.0,46.5,54.28,2.0,66.64,3.65,38.94
2019-03-14,2019-03-14,60.0,60.16,59.9,60.0,12.0,8183.0,0.0,1.0,48.36,51.33,2.52,60.52,3.3000000000000003,38.94
2019-03-15,2019-03-15,59.43,60.0,59.38,59.85,11.97,72349.0,0.0,1.0,50.22,43.66,3.16,64.60000000000001,2.75,39.53
2019-03-18,2019-03-18,59.95,60.62,59.95,60.42,12.084000000000001,14288.0,0.0,1.0,54.4,57.95,3.48,65.0,3.85,37.76
2019-03-19,2019-03-19,60.83,60.94,60.2501,60.2738,12.0548,8996.0,0.0,1.0,52.48,61.0,2.52,54.6,5.0,41.89
2019-03-20,2019-03-20,60.21,61.433,60.1601,61.2985,12.2597,12320.0,0.0,1.0,52.48,58.56,4.0,54.6,4.6000000000000005,37.17
2019-03-21,2019-03-21,61.32,61.35,60.9963,61.0171,12.2034,11479.0,0.0,1.0,49.92,53.68,2.04,55.25,3.7,39.53
2019-03-22,2019-03-22,60.41,60.41,59.615,60.0745,12.0149,8730.0,0.0,1.0,53.12000000000001,51.24,2.76,55.25,3.65,35.98999999999999
2019-03-25,2019-03-25,59.87,60.23,59.45,60.1322,12.0264,10217.0,0.0,1.0,52.29,62.08,2.04,56.76000000000001,3.45,37.76
2019-03-26,2019-03-26,61.4,61.44,61.06,61.2236,12.2447,14184.0,0.0,1.0,49.77,64.0,1.86,60.06,3.75,39.53
2019-03-27,2019-03-27,61.285,61.285,60.5671,60.5671,12.1134,2970.0,0.0,1.0,52.92,61.44,2.31,64.02,3.6,39.53
2019-03-28,2019-03-28,59.77,60.5887,59.77,60.5887,12.1177,2014.0,0.0,1.0,53.55,60.16,1.74,55.44000000000001,4.05,37.76
