date,open_oil,high_oil,low_oil,oil_price,oil_adj,volume_oil,divid,split coef
2017-10-31,53.38,53.38,53.38,53.38,10.676,11.0,0.0,1.0
2017-10-30,53.38,53.38,53.38,53.38,10.676,100.0,0.0,1.0
2017-10-27,51.66,51.66,51.66,51.66,10.332,0.0,0.0,1.0
2017-10-26,51.66,51.66,51.66,51.66,10.332,0.0,0.0,1.0
2017-10-25,51.66,51.66,51.66,51.66,10.332,1128.0,0.0,1.0
2017-10-24,51.08,51.08,51.08,51.08,10.216,0.0,0.0,1.0
2017-10-23,51.08,51.08,51.08,51.08,10.216,700.0,0.0,1.0
2017-10-20,51.56,51.56,51.56,51.56,10.312,0.0,0.0,1.0
2017-10-19,51.56,51.56,51.56,51.56,10.312,37.0,0.0,1.0
2017-10-18,51.5599,51.56,51.5599,51.56,10.312,590.0,0.0,1.0
2017-10-17,51.17,51.17,51.17,51.17,10.234,606.0,0.0,1.0
2017-10-16,51.43,51.43,51.39,51.43,10.286,2900.0,0.0,1.0
2017-10-13,50.78,50.78,50.76,50.76,10.152,1100.0,0.0,1.0
2017-10-12,50.25,50.25,50.2395,50.2395,10.0479,1550.0,0.0,1.0
2017-10-11,50.48,50.48,50.48,50.48,10.096,0.0,0.0,1.0
2017-10-10,50.5,50.5,50.48,50.48,10.096,322.0,0.0,1.0
2017-10-09,49.79,49.79,49.79,49.79,9.958,0.0,0.0,1.0
2017-10-06,49.79,49.79,49.79,49.79,9.958,0.0,0.0,1.0
2017-10-05,49.79,49.79,49.79,49.79,9.958,0.0,0.0,1.0
2017-10-04,50.12,50.12,49.71,49.79,9.958,1598.0,0.0,1.0
2017-10-03,50.06,50.06,49.9923,49.9923,9.9985,2024.0,0.0,1.0
2017-10-02,49.88,50.07,49.85,49.85,9.97,3776.0,0.0,1.0
2017-09-29,50.99,50.99,50.99,50.99,10.198,10.0,0.0,1.0
2017-09-28,52.26,52.26,50.92,50.99,10.198,3203.0,0.0,1.0
2017-09-27,51.53,51.53,51.53,51.53,10.306,67.0,0.0,1.0
2017-09-26,51.53,51.53,51.53,51.53,10.306,88.0,0.0,1.0
2017-09-25,50.99,51.53,50.99,51.53,10.306,5100.0,0.0,1.0
2017-09-22,50.1507,50.1507,50.1507,50.1507,10.0301,71.0,0.0,1.0
2017-09-21,50.1507,50.1507,50.1507,50.1507,10.0301,100.0,0.0,1.0
2017-09-20,49.9699,49.9699,49.9699,49.9699,9.994,0.0,0.0,1.0
2017-09-19,49.9699,49.9699,49.9699,49.9699,9.994,50.0,0.0,1.0
2017-09-18,49.9699,49.9699,49.9699,49.9699,9.994,160.0,0.0,1.0
2017-09-15,50.1,50.14,50.09,50.14,10.028,7200.0,0.0,1.0
2017-09-14,47.7,47.7,47.7,47.7,9.54,0.0,0.0,1.0
2017-09-13,47.7,47.7,47.7,47.7,9.54,0.0,0.0,1.0
2017-09-12,47.7,47.7,47.7,47.7,9.54,56.0,0.0,1.0
2017-09-11,47.7,47.7,47.7,47.7,9.54,0.0,0.0,1.0
2017-09-08,47.58,47.7,47.58,47.7,9.54,6911.0,0.0,1.0
2017-09-07,49.11,49.11,49.11,49.11,9.822,26.0,0.0,1.0
2017-09-06,49.11,49.11,49.11,49.11,9.822,100.0,0.0,1.0
2017-09-05,48.6299,48.6999,48.6114,48.6828,9.7366,901.0,0.0,1.0
2017-09-01,47.37,47.37,47.37,47.37,9.474,300.0,0.0,1.0
2017-08-31,46.29,46.29,46.29,46.29,9.258,0.0,0.0,1.0
2017-08-30,46.29,46.29,46.29,46.29,9.258,0.0,0.0,1.0
2017-08-29,46.29,46.29,46.29,46.29,9.258,0.0,0.0,1.0
2017-08-28,47.28,47.28,46.29,46.29,9.258,1453.0,0.0,1.0
2017-08-25,47.87,47.87,47.66,47.66,9.532,5800.0,0.0,1.0
2017-08-24,47.8501,47.8501,47.8501,47.8501,9.57,0.0,0.0,1.0
2017-08-23,47.8501,47.8501,47.8501,47.8501,9.57,0.0,0.0,1.0
2017-08-22,47.8501,47.8501,47.8501,47.8501,9.57,200.0,0.0,1.0
2017-08-21,47.96,47.96,47.96,47.96,9.592,0.0,0.0,1.0
2017-08-18,47.96,47.96,47.96,47.96,9.592,0.0,0.0,1.0
2017-08-17,47.96,47.96,47.96,47.96,9.592,0.0,0.0,1.0
2017-08-16,47.96,47.96,47.96,47.96,9.592,660.0,0.0,1.0
2017-08-15,47.7001,47.7001,47.7001,47.7001,9.54,0.0,0.0,1.0
2017-08-14,49.22,49.23,47.7001,47.7001,9.54,1540.0,0.0,1.0
2017-08-11,49.52,49.52,49.52,49.52,9.904,42.0,0.0,1.0
2017-08-10,49.52,49.52,49.52,49.52,9.904,0.0,0.0,1.0
2017-08-09,49.71,49.97,49.3,49.52,9.904,16201.0,0.0,1.0
2017-08-08,49.68,49.68,49.68,49.68,9.936,110.0,0.0,1.0
2017-08-07,49.7208,49.7208,49.7208,49.7208,9.9442,3.0,0.0,1.0
2017-08-04,49.7208,49.7208,49.7208,49.7208,9.9442,404.0,0.0,1.0
2017-08-03,49.74,49.74,49.74,49.74,9.948,70.0,0.0,1.0
2017-08-02,49.5,49.76,49.0,49.74,9.948,11201.0,0.0,1.0
2017-08-01,49.42,49.42,49.42,49.42,9.884,100.0,0.0,1.0
2017-07-31,49.47,50.0,49.46,50.0,10.0,14786.0,0.0,1.0
2017-07-28,49.92,49.98,49.8999,49.9416,9.9883,9358.0,0.0,1.0
